decision_point,trump,our_score,their_score,bidding_meld,defending_meld,hand,meld_total,ace_count,trump_length,longest_side_suit,has_run,has_pinochle,has_around,bid,score_diff,partner_has_bid,partner_has_passed,p_make,ev_take,ev_defend,ev_play_on,ev_fold,verdict_bid,verdict_fold
bid,D,270,160,,,10D_2 10H_2 9C_1 AD_2 AS_2 JD_1 JD_2 JS_2 KD_1 QD_1 QD_2 QH_2,150,2,7,2,1,0,0,300,110,0,0,1.0,379.5333,-124.8667,,,1,
bid,D,160,270,,,10C_1 10C_2 10S_1 9D_1 AD_1 AH_1 JC_1 JH_1 JH_2 KC_2 QH_1 QS_2,10,2,2,4,0,0,0,310,-110,0,0,0.0933,-411.8,11.5333,,,0,
bid,C,270,160,,,10S_2 9C_2 9D_2 9H_1 9H_2 AC_2 JC_2 JS_1 KC_1 KS_1 QC_2 QS_1,70,1,5,4,0,0,0,310,110,1,0,0.7133,56.0,-120.7333,,,1,
bid,S,160,270,,,10D_1 10H_1 9S_1 9S_2 AC_1 AH_2 AS_1 KD_2 KH_1 KH_2 KS_2 QC_1,20,3,4,4,0,0,0,310,-110,0,1,0.4133,-174.4,-54.0,,,0,
fold,D,270,160,220,10,10D_2 10S_2 9C_1 AC_2 AD_2 JD_1 JD_2 KD_1 QD_1 QD_2 QH_2 QS_1,190,2,7,2,1,1,0,300,110,0,0,1.0,,,326.2667,-310.0,,0
bid,C,250,660,,,10H_1 10H_2 9C_1 9D_1 AC_2 AD_2 JD_2 JS_1 KC_1 KD_1 KD_2 QC_2,50,2,4,5,0,0,0,300,-410,0,0,0.6667,23.0667,-25.8,,,1,
bid,H,660,250,,,10D_2 9H_2 AC_1 AH_1 AH_2 AS_1 AS_2 JC_1 JC_2 JH_2 KS_1 QD_1,10,5,4,3,0,0,0,300,410,0,0,0.64,-6.4667,99.1333,,,0,
bid,H,250,660,,,10C_2 9C_2 9D_2 9H_1 9S_1 JD_1 JH_1 JS_2 KH_1 KH_2 QD_2 QH_1,50,0,5,3,0,0,0,310,-410,0,1,0.42,-179.5333,-135.6667,,,0,
bid,S,660,250,,,10C_1 10D_1 10S_1 10S_2 9S_2 AD_1 KC_2 KS_2 QC_1 QH_2 QS_1 QS_2,70,1,6,3,0,0,0,310,410,1,0,0.6667,60.0667,43.8,,,1,
fold,H,660,250,50,70,9H_2 AH_1 AH_2 AS_2 JC_1 JC_2 JH_2 KS_1 QD_1 QH_2 QS_1 QS_2,30,3,5,4,0,0,0,300,410,0,0,0.04,,,-430.2,-370.0,,1
bid,C,360,450,,,10C_2 10H_2 AC_2 AD_1 JC_1 JC_2 JD_1 JD_2 JS_2 KH_2 QC_2 QD_2,0,2,5,4,0,0,0,300,-90,0,0,0.66,45.0667,-50.8,,,1,
